"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL028W",70.9711756048594,-0.0501219935719652,0.169014448874572,-0.296554489309736,0.766806660775431,0.853627700197618
"YAL029C",147.092322559497,-0.0521016540053065,0.118532632908844,-0.439555358948068,0.660259178885035,0.77901602790571
"YAL030W",86.9679292224793,-0.0772821998695465,0.149416021894729,-0.517228332608104,0.604996776082297,0.736527945001402
"YAL031C",83.9049611705677,-0.70323848602817,0.164753276282113,-4.26843399960066,1.96850052169413e-05,0.000113651692220551
"YAL031W-A",9.28075289800508,-1.32494260702665,0.508721054435054,-2.6044579745142,0.00920197052820847,0.0285031149825252
"YAL032C",81.4321301842547,-0.187133200079481,0.165299374593499,-1.13208655834104,0.257598045423936,0.406077249560359
"YAL033W",32.8174228533613,-0.228362387634416,0.250049003387609,-0.91327053713717,0.361100273908259,0.514392954404689
"YAL034C",75.5391649157251,0.0734135046532788,0.171249577755067,0.428693054988316,0.66814661546386,0.783241776926113
"YAL034C-B",2.49541286973226,-1.86128406287875,1.0623331575228,-1.75207188978172,0.0797614471482984,0.167748459371771
"YAL034W-A",19.1447712868934,-0.34145608153544,0.324392998812059,-1.05260003386592,0.29252434165604,0.444371347963058
"YAL035W",519.136714492484,0.657693186673146,0.0629335912638961,10.4505904313529,1.45615841604141e-25,2.3072264426601e-24
"YAL036C",55.3584319834818,0.647948692893507,0.191498113961429,3.38357741227683,0.000715480342557729,0.00301953720003335
"YAL037C-A",0.308927110136835,-1.0507927208483,2.41547468873068,-0.43502534957238,0.663544027404359,NA
"YAL037C-B",113.570574110861,-0.371728475655215,0.132678653752064,-2.80172028538865,0.0050830924872123,0.0170841630537779
"YAL037W",6.7086816862269,-1.57574955550861,0.625082151149838,-2.52086794129383,0.0117065777195016,0.0350421327380156
"YAL038W",12960.939003156,1.80973782972499,0.0143900204700674,125.763395089633,0,0
"YAL039C",289.129711029216,0.164318112788805,0.0814369887313644,2.01773316214872,0.0436190591309471,0.103280783455374
"YAL040C",84.6510411377493,-0.153990019303443,0.15407352644883,-0.99945800458189,0.317572872992009,0.470627215906114
"YAL041W",87.8078440299548,-0.0634361053700351,0.15572476287991,-0.407360423588861,0.683743289876327,0.795164297441968
"YAL042C-A",87.4689807921006,1.04397701447811,0.158690974714832,6.57867919933149,4.74645587876107e-11,4.64506100085565e-10
"YAL042W",658.236903596021,0.253191641089851,0.0577590570205003,4.38358335732501,1.16742949225497e-05,7.00901163346241e-05
"YAL043C",122.481690537093,0.120999013174583,0.126190251146941,0.958861814401867,0.337628363810618,0.490478802566506
"YAL044C",199.972332264649,1.95015726303434,0.109137281425273,17.8688458935972,2.06216619123298e-71,6.75492987615278e-70
"YAL044W-A",29.1548319829087,-0.550019561703401,0.282110667426782,-1.94965885806552,0.0512167930763428,0.117699951228149
"YAL045C",14.9264144414282,-0.0373505439960617,0.388117983585065,-0.0962350253679378,0.923333913677331,0.955414960072201
"YAL046C",39.5742629921625,0.514132517954277,0.245326230755212,2.09570952266936,0.0361079666039839,0.0883757510144739
"YAL047C",26.5331704159441,-0.223949382564153,0.271298528094703,-0.825472162112058,0.409103580844384,0.561337319580486
"YAL047W-A",1.02883025671771,-1.76281607129277,1.51229196693873,-1.16565855656905,0.243752522506032,0.389732788893054
